知识点,答案,复习次数,下次复习时间
梅雨,是夏季风顺着副高北侧边缘进入我国后，跟残存的弱冷空气碰撞出来的主雨带。五月底六月上旬在华南制造龙舟水。随着副高的季节性北抬，6月中旬至7月中旬形成长江流域的梅雨。一般来说江浙沪的入梅大概在6月中下旬。,0,2025-07-06
翻译：测量,measure,1,2025-07-06
翻译：小费,tip,1,2025-07-06
翻译：坚持,insist on,2,2025-07-06
翻译：坐在桌边,sit at the table,3,2025-07-15
翻译：总是、一般、很少,usually / often / always / frequently；generally；seldom / rarely,4,2025-07-20
生物分类层次,域：真核生物域、细菌域：也叫原核生物域，包括细菌、古菌等单细胞生物、古菌域：一些独特的原核生物。界：动物界、植物界、真菌界、原生生物界、原核生物界等。门、节肢动物门、软体动物门、环节动物门等。纲：哺乳纲、鸟纲、鱼纲、昆虫纲、蛛形纲等。目：食肉目、灵长目、偶蹄目、啮齿目、鲈形目等。科：猫科、犬科、熊科、仓鼠科、鲤科等。属：人属、猫属、犬属、鲤属等。种：智人种、家猫种、灰狼种、柴犬种、鲤鱼种等。Family genus species,4,2025-07-20
翻译：3 月 14 日,on the fourteenth of March,4,2025-07-20
MBTI 各人格名称,MBTI 各人格名称,4,2025-07-20
GDP,上北深广重 苏成杭武南。广东、江苏、山东、浙江、四川、河南、湖北、福建、湖南、上海。粤苏鲁浙川 豫鄂闽湘沪,4,2025-07-20
翻译：暑假,summer vacation,5,2025-08-05
武汉为什么热,1、属亚热带季风气候，季风气候夏天受副高控制，本就会热。2、武汉是江汉平原，北面是水，南面是山，导致武汉地势低平，周围地势较高，散热困难。夏天南风吹不进来，冬天北风却顺着汉水往里灌。3、武汉处于长江中下游，河网密布，水汽多，湿度大。出汗后蒸发慢，体感温度会显得更热了。 4、城市热岛效应也十分明显。,5,2025-08-05
修车店 和例句,I left my car at the garage to be repaired.（我把车留在修车店修理。）,5,2025-08-05
定位销配合方式,间隙配合：孔的尺寸总是大于轴（定位销）的尺寸。这种配合下，定位销插入孔中比较轻松，有明显的间隙，能够自由转动。过盈配合：轴（定位销）的尺寸大于孔的尺寸，需要通过一定的外力（如压力机）将定位销压入孔中。过渡配合：孔和轴（定位销）的尺寸比较接近，可能出现间隙，也可能出现过盈。,5,2025-08-05
翻译：邮票,stamp,5,2025-08-05
翻译：度假的完成时态,taken the holiday,5,2025-08-05
A3、A4 纸尺寸,A4 纸的尺寸是210mm×297mm；A3 纸的尺寸是297mm×420mm,5,2025-08-05
翻译：汇报表演,giving a performance,5,2025-08-10
翻译：牛,母牛：cow；公牛：ox；牛群：cattle,5,2025-08-10
翻译：香,fragrant,5,2025-08-10
翻译：母鸡,hen,5,2025-08-10
翻译：跑步机,treadmill,5,2025-08-10
翻译：摔倒,slip,5,2025-08-10
RFID,RFID,5,2025-08-10
翻译：过马路,cross the road,7,2025-08-11
翻译：正当他 xxx 样的时候,Just as,7,2025-08-11
翻译：打扫地毯,sweep the carpet,7,2025-08-11
电源,power supply,7,2025-08-11
插线板,power strip,7,2025-08-11
翻译：遛狗,walk the dog,10,2025-08-12
翻译：收货地点,shipping location,10,2025-08-12
设计三定律,费茨、米勒、席克,10,2025-08-12
软解硬解,解码原理：硬解—借助专门的硬件模块，通过相机内部专用的解码芯片来进行解码。软解—利用电脑 CPU 的计算能力，运行相应的软件算法对图像进行解码,10,2025-08-12
健身房、健身，和例句,I worked out at the gym tonight.,10,2025-08-12
翻译：要喝水,ask for water,10,2025-08-12
翻译：排球,volleyball,10,2025-08-12
翻译：提示,Eg：hint text,10,2025-08-13
翻译：架子两种翻译,rack，shelf,10,2025-08-13
翻译：进入汽车,getting into the car,10,2025-08-13
翻译：集中、浓缩,concentrate,10,2025-08-13
翻译：上床,go to bed,10,2025-08-13
翻译：条件,条件condition,10,2025-08-13
翻译：海星,starfish,10,2025-08-14
翻译：喷；喷雾,spray,10,2025-08-14
翻译：小溪；一串,stream,10,2025-08-14
翻译：瑕疵,This item has a defect.,10,2025-08-14
翻译：海胆,sea urchin,10,2025-08-14
翻译：老鼠,rat,10,2025-08-14
翻译：退还,refund,10,2025-08-14
翻译：运费,邮政费用：postage；运费：shipping fee,10,2025-08-15
翻译：付费会员,premium member,10,2025-08-15
二十八宿,xiu,10,2025-08-15
翻译：洞,hole,10,2025-08-15
